cluster_id,poi_type,latitude,longitude
2,okul,-13.408850721884018,33.789603207385376
2,saglik,-13.407131191473102,33.79482073042877
2,gida,-13.398284865998345,33.805409856308344
5,okul,-9.797472915590818,35.604369528126114
5,saglik,-9.793275086843849,35.59945184163395
5,gida,-9.798033338882142,35.598355632445724
0,okul,-15.795531319776268,32.59504826038352
0,saglik,-15.802685227874145,32.60008114301736
0,gida,-15.790341891283935,32.59294978378446
4,okul,-11.003423928027724,34.991240954504285
4,saglik,-11.005278941796716,34.992191134532185
4,gida,-10.99010628289216,34.99491359764575
1,okul,-14.60941766723869,33.2083342357836
1,saglik,-14.596001303567515,33.20319659311258
1,gida,-14.610475321796743,33.204736273709585
3,okul,-12.194957692851476,34.4062416306548
3,saglik,-12.195823311814316,34.3939357427086
3,gida,-12.196260346409153,34.403274684889304
